,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
276,golden,39.7555,-105.2211,11.99,38,1,0.45,US,1639542742
277,aklavik,68.2191,-135.0107,-27.54,97,100,4.27,CA,1639542742
278,moranbah,-22.0016,148.0466,34.24,28,5,3.0,AU,1639542540
279,dauphin,51.1494,-100.0502,-5.92,96,1,1.03,CA,1639542743
280,praia da vitoria,38.7333,-27.0667,16.53,82,75,3.86,PT,1639542743
281,morondava,-20.2833,44.2833,27.53,62,65,1.99,MG,1639542744
282,tigil,57.8,158.6667,-9.29,94,100,4.41,RU,1639542744
283,lincoln,40.8,-96.667,13.02,90,1,2.24,US,1639542745
284,cidreira,-30.1811,-50.2056,21.8,93,100,8.33,BR,1639542745
285,libertador general san martin,-23.8064,-64.7876,23.3,93,91,0.54,AR,1639542746
286,umm lajj,25.0213,37.2685,24.08,52,100,0.56,SA,1639542746
287,vanimo,-2.6741,141.3028,27.18,83,100,2.56,PG,1639542746
288,eureka,40.8021,-124.1637,4.4,93,72,0.45,US,1639542747
289,talnakh,69.4865,88.3972,-23.22,97,100,6.87,RU,1639542747
290,kieta,-6.2167,155.6333,29.26,78,100,3.34,PG,1639542747
291,richards bay,-28.783,32.0377,23.25,77,4,3.34,ZA,1639542620
292,sortland,68.6949,15.4162,3.98,97,100,6.02,NO,1639542747
293,port keats,-14.25,129.55,33.67,55,3,5.76,AU,1639542748
294,kahului,20.8947,-156.47,24.36,77,40,7.72,US,1639542748
295,sakakah,29.9697,40.2064,11.76,53,0,2.92,SA,1639542748
296,ponta do sol,32.6667,-17.1,14.45,85,95,3.17,PT,1639542749
297,pangnirtung,66.1451,-65.7125,-29.1,93,54,2.04,CA,1639542749
298,sola,-13.8833,167.55,27.56,79,100,8.43,VU,1639542750
299,pokrovsk,48.282,37.1758,1.58,97,100,3.64,UA,1639542750
300,tias,28.9611,-13.645,17.86,59,99,8.23,ES,1639542751
301,portland,45.5234,-122.6762,4.54,90,20,0.89,US,1639542751
302,shima,24.4478,117.8111,24.01,57,69,1.5,CN,1639542751
303,armidale,-30.5167,151.65,26.56,31,3,2.36,AU,1639542752
304,laguna,38.421,-121.4238,6.99,91,1,0.0,US,1639542752
305,pierre,44.3683,-100.351,3.51,70,1,4.63,US,1639542752
306,kirakira,-10.4544,161.9205,29.72,75,98,3.89,SB,1639542752
307,kandrian,-6.2167,149.55,29.13,74,100,1.3,PG,1639542752
308,honningsvag,70.9821,25.9704,-3.26,79,46,9.27,NO,1639542753
309,mahajanga,-15.7167,46.3167,28.01,57,20,6.69,MG,1639542753
310,sinnamary,5.3833,-52.95,24.78,90,72,2.75,GF,1639542753
311,sayat,38.7839,63.8803,-0.07,67,7,2.08,TM,1639542753
312,vila velha,-20.3297,-40.2925,24.97,89,100,2.24,BR,1639542753
313,hokitika,-42.7167,170.9667,20.13,59,99,3.79,NZ,1639542754
314,zhezkazgan,47.8043,67.7144,-14.01,72,98,1.0,KZ,1639542754
315,sambava,-14.2667,50.1667,27.0,67,6,3.91,MG,1639542754
316,derzhavinsk,51.1,66.3167,-7.22,79,100,6.34,KZ,1639542754
317,qaqortoq,60.7167,-46.0333,-1.72,85,100,1.71,GL,1639542754
318,edd,13.9297,41.6925,26.18,53,76,8.73,ER,1639542755
319,balykshi,47.0667,51.8667,-4.0,86,67,9.0,KZ,1639542755
320,yuanping,38.7153,112.7575,3.27,31,100,1.38,CN,1639542756
321,guerrero negro,27.9769,-114.0611,15.62,75,65,2.26,MX,1639542756
322,korhogo,9.45,-5.6333,22.7,56,73,1.95,CI,1639542756
323,commerce,34.0006,-118.1598,11.81,77,1,0.0,US,1639542756
324,half moon bay,37.4636,-122.4286,7.95,85,75,2.06,US,1639542757
325,kiama,-34.6833,150.8667,28.71,59,37,4.88,AU,1639542687
326,naryan-mar,67.6713,53.087,-7.72,96,99,2.97,RU,1639542757
327,abu kamal,34.4506,40.9171,12.28,33,5,4.19,SY,1639542757
328,slave lake,55.2834,-114.769,-21.01,77,90,6.69,CA,1639542757
329,dargaville,-35.9333,173.8833,22.23,63,2,5.55,NZ,1639542758
330,mackenzie,55.2999,-123.1698,-14.88,72,90,1.03,CA,1639542758
331,bose,45.4612,8.0137,5.39,86,67,1.01,IT,1639542758
332,port washington,40.8257,-73.6982,8.68,56,75,2.68,US,1639542758
333,salinopolis,-0.6136,-47.3561,27.06,80,61,5.65,BR,1639542759
334,san cristobal,7.7669,-72.225,22.1,97,76,1.07,VE,1639542759
335,shubarshi,48.5872,57.1869,-7.73,78,96,3.23,KZ,1639542759
336,tombouctou,20.0,-3.0,23.52,28,100,2.4,ML,1639542759
337,edendale,-29.6528,30.3147,18.12,85,36,1.96,ZA,1639542760
338,makakilo city,21.3469,-158.0858,24.18,78,40,3.6,US,1639542761
339,kapit,2.0167,112.9333,33.11,56,94,0.97,MY,1639542761
340,clyde river,70.4692,-68.5914,-29.87,76,16,2.57,CA,1639542729
341,mut,36.6439,33.4389,8.91,94,95,1.21,TR,1639542761
342,tura,25.5198,90.2201,23.09,50,80,0.6,IN,1639542761
343,avera,33.194,-82.5271,11.93,60,0,3.05,US,1639542762
344,lajosmizse,47.0213,19.5617,-1.97,93,40,0.0,HU,1639542762
345,ankara,39.9199,32.8543,5.67,97,75,0.45,TR,1639542577
346,madaoua,14.073,5.96,16.44,18,57,5.02,NE,1639542762
347,viedma,-40.8135,-62.9967,16.63,76,71,2.87,AR,1639542763
348,crotone,39.0851,17.1178,6.63,68,11,9.1,IT,1639542763
349,sitka,57.0531,-135.33,-2.06,69,90,0.0,US,1639542763
350,bathsheba,13.2167,-59.5167,27.34,74,40,8.75,BB,1639542763
351,coihaique,-45.5752,-72.0662,11.34,81,40,1.03,CL,1639542764
352,sidhi,24.4167,81.8833,21.35,33,97,1.56,IN,1639542764
353,ocos,14.5094,-92.1933,27.22,79,8,2.03,GT,1639542764
354,meadow lake,34.8014,-106.5436,10.94,57,99,7.46,US,1639542764
355,ketchikan,55.3422,-131.6461,-2.74,74,90,0.0,US,1639542765
356,namatanai,-3.6667,152.4333,29.86,69,99,4.36,PG,1639542765
357,guiratinga,-16.3494,-53.7583,21.53,96,100,1.04,BR,1639542765
358,izumo,35.3667,132.7667,12.94,67,75,3.6,JP,1639542670
359,alofi,-19.0595,-169.9187,26.94,78,14,4.63,NU,1639542766
360,bugalagrande,4.2121,-76.1556,18.92,94,83,0.44,CO,1639542766
361,xuddur,4.1213,43.8894,23.56,69,72,8.96,SO,1639542766
362,eldorado,-23.7869,-54.2836,26.71,81,100,1.71,BR,1639542766
363,lithakia,37.7167,20.8333,9.68,65,3,5.14,GR,1639542767
364,gorontalo,0.5412,123.0595,31.06,66,89,1.92,ID,1639542769
365,tashla,51.7716,52.7427,-6.06,89,100,3.42,RU,1639542631
366,damascus,33.5102,36.2913,10.19,69,1,2.01,SY,1639542769
367,doha,25.2867,51.5333,18.99,82,96,0.0,QA,1639542564
368,tocopilla,-22.092,-70.1979,19.22,75,29,2.5,CL,1639542770
369,krasnoselkup,65.7,82.4667,-17.72,95,100,6.73,RU,1639542770
370,lompoc,34.6391,-120.4579,10.07,76,75,2.06,US,1639542770
371,saint-augustin,51.226,-58.6502,-9.62,63,86,9.85,CA,1639542770
372,belaya gora,68.5333,146.4167,-33.16,98,99,1.6,RU,1639542771
373,bambous virieux,-20.3428,57.7575,27.9,69,40,6.17,MU,1639542772
374,severo-kurilsk,50.6789,156.125,-2.69,68,94,12.11,RU,1639542772
375,marzuq,14.4,46.4667,16.73,20,41,0.47,YE,1639542772
376,rantoul,40.3084,-88.1559,11.01,93,90,1.79,US,1639542772
377,ambulu,-8.345,113.6058,30.47,66,26,2.91,ID,1639542772
378,korla,41.7597,86.1469,-1.56,44,14,1.78,CN,1639542773
379,aras,42.5617,-2.356,2.23,100,90,1.03,ES,1639542773
380,springdale,36.1867,-94.1288,18.44,93,75,4.47,US,1639542773
381,jibuti,11.5,42.5,20.68,62,36,9.58,DJ,1639542766
382,elizabeth city,36.2946,-76.2511,12.77,91,1,3.09,US,1639542774
383,yizheng,24.6706,103.4296,14.93,60,60,4.77,CN,1639542774
384,kaeo,-35.1,173.7833,22.1,64,20,5.22,NZ,1639542774
385,yelizovo,53.1873,158.3805,-0.92,50,20,5.81,RU,1639542774
386,jiaozuo,35.2397,113.2331,11.51,27,48,1.04,CN,1639542612
387,deputatskiy,69.3,139.9,-29.29,97,100,0.63,RU,1639542775
388,rodrigues alves,-7.738,-72.6509,22.46,98,89,1.22,BR,1639542775
389,ribeira brava,32.65,-17.0667,14.45,87,95,3.3,PT,1639542775
390,karratha,-20.7377,116.8463,32.8,36,1,7.2,AU,1639542657
391,pulandian,39.3953,121.9669,7.07,29,0,2.12,CN,1639542776
392,shu,43.5983,73.7614,1.73,75,83,0.65,KZ,1639542776
393,ishikawa,26.4233,127.8214,22.41,56,1,5.14,JP,1639542611
394,lasa,46.6166,10.7002,1.31,78,98,2.6,IT,1639542776
395,nangomba,-10.9,38.5,27.24,60,45,2.86,TZ,1639542776
396,cairns,-16.9167,145.7667,36.08,55,64,6.17,AU,1639542777
397,lisakovsk,52.5369,62.4936,-3.62,70,100,7.05,KZ,1639542777
398,slonim,53.0867,25.3219,1.32,96,100,2.64,BY,1639542777
399,sweetwater,25.7634,-80.3731,25.01,86,75,0.45,US,1639542777
400,opuwo,-18.0607,13.84,21.39,34,72,1.0,NA,1639542607
401,kaliua,-5.0606,31.7936,19.03,90,85,1.53,TZ,1639542778
402,isangel,-19.55,169.2667,28.06,69,75,6.17,VU,1639542778
403,shingu,33.7333,135.9833,14.55,48,3,4.76,JP,1639542778
404,artyom,40.4723,50.333,10.08,74,26,10.88,AZ,1639542779
405,bundaberg,-24.85,152.35,31.23,44,40,2.68,AU,1639542779
406,carutapera,-1.195,-46.02,26.07,81,55,3.38,BR,1639542779
407,aasiaat,68.7098,-52.8699,-17.87,99,96,1.82,GL,1639542779
408,buala,-8.145,159.5921,28.85,82,96,4.37,SB,1639542779
409,lorengau,-2.0226,147.2712,28.02,84,60,7.83,PG,1639542780
410,gamba,-2.65,10.0,23.77,93,100,2.88,GA,1639542780
411,bontang,0.1333,117.5,28.09,73,100,1.48,ID,1639542662
412,pochutla,15.7432,-96.4661,24.47,60,12,1.59,MX,1639542780
413,kyra,49.5776,111.9753,-14.48,47,100,6.25,RU,1639542780
414,norman wells,65.282,-126.8329,-35.98,68,75,1.03,CA,1639542781
415,san juan,-31.5375,-68.5364,20.32,59,43,4.38,AR,1639542781
416,belton,38.812,-94.5319,17.69,87,90,4.47,US,1639542781
417,rovigo,45.08,11.793,4.9,87,71,2.01,IT,1639542781
418,opaka,43.45,26.1667,2.14,95,100,3.4,BG,1639542782
419,nagornskiy,58.7731,57.5451,-5.68,96,100,1.94,RU,1639542782
420,coffs harbour,-30.3,153.1333,29.15,60,0,4.63,AU,1639542782
421,klaksvik,62.2266,-6.589,7.51,79,6,12.22,FO,1639542782
422,meulaboh,4.1363,96.1285,29.74,66,99,0.87,ID,1639542782
423,camapua,-19.5314,-54.0439,21.79,99,97,1.89,BR,1639542783
424,umm kaddadah,13.6017,26.6876,19.83,43,80,8.76,SD,1639542783
425,falam,22.9167,93.6833,18.92,44,71,0.83,MM,1639542783
426,archidona,37.0965,-4.3887,8.86,78,68,1.78,ES,1639542783
427,crawfordsville,40.0411,-86.8745,12.11,53,90,0.0,US,1639542783
428,polunochnoye,60.8697,60.4153,-10.84,89,70,2.17,RU,1639542784
429,oudtshoorn,-33.5907,22.2014,15.2,80,89,1.47,ZA,1639542784
430,znin,52.8496,17.7199,3.97,97,100,2.2,PL,1639542784
431,port moresby,-9.4431,147.1797,30.68,70,40,2.57,PG,1639542784
432,voh,-20.9667,164.7,26.29,58,8,4.56,NC,1639542786
433,fare,-16.7,-151.0167,27.64,72,9,6.46,PF,1639542786
434,pisco,-13.7,-76.2167,19.03,82,0,3.09,PE,1639542786
435,ostrovnoy,68.0531,39.5131,-2.38,96,100,3.15,RU,1639542786
436,nuuk,64.1835,-51.7216,-4.66,80,90,1.54,GL,1639542781
437,beaverton,45.4871,-122.8037,4.24,91,90,0.45,US,1639542787
438,martinsicuro,42.8811,13.9145,9.43,75,10,5.58,IT,1639542787
439,caruray,10.3094,119.0128,29.5,68,56,5.73,PH,1639542787
440,uchana,29.4667,76.1667,17.26,34,0,1.92,IN,1639542788
441,san angelo,31.4638,-100.437,17.12,87,1,2.68,US,1639542788
442,antofagasta,-23.65,-70.4,16.6,82,36,2.42,CL,1639542788
443,dicabisagan,17.0818,122.4157,24.5,83,95,4.43,PH,1639542788
444,savona,44.3,8.2667,8.7,90,32,3.01,IT,1639542788
445,imeni zhelyabova,58.9544,36.5956,-2.99,96,100,3.96,RU,1639542789
446,airai,-8.9266,125.4092,26.14,44,6,0.88,TL,1639542789
447,kenai,60.5544,-151.2583,-18.81,84,1,2.06,US,1639542789
448,imbituba,-28.24,-48.6703,24.9,94,100,2.7,BR,1639542789
449,saint-jean-de-maurienne,45.1667,6.5833,-3.5,55,62,0.42,FR,1639542790
450,broome,42.2506,-75.833,1.42,75,100,1.21,US,1639542790
451,roma,43.2128,-75.4557,1.89,76,1,0.0,US,1639542790
452,itoman,26.1247,127.6694,22.43,56,20,5.66,JP,1639542626
453,kaspiysk,42.8816,47.6392,9.1,87,90,3.13,RU,1639542773
454,palasa,18.7667,84.4167,24.37,60,100,2.72,IN,1639542791
455,canaries,28.0,-15.5,11.98,77,20,3.6,ES,1639542791
456,khorixas,-20.3667,14.9667,21.54,25,94,0.51,NA,1639542608
457,charlestown,-32.95,151.6667,32.54,52,0,1.34,AU,1639542791
458,bolobo,-2.1667,16.2333,22.08,93,86,1.02,CD,1639542791
459,lavrentiya,65.5833,-171.0,-23.3,88,100,6.08,RU,1639542792
460,dunedin,-45.8742,170.5036,13.22,81,100,2.24,NZ,1639542605
461,vuktyl,63.8567,57.3094,-13.17,98,95,1.51,RU,1639542795
462,lagoa,39.05,-27.9833,15.56,69,62,4.35,PT,1639542795
463,beloha,-25.1667,45.05,29.84,47,6,2.23,MG,1639542795
464,nosivka,50.9315,31.5828,0.42,91,100,3.02,UA,1639542795
465,kavaratti,10.5669,72.642,28.27,68,99,2.63,IN,1639542796
466,alihe,50.5667,123.7167,-15.44,53,27,1.96,CN,1639542796
467,socuellamos,39.2858,-2.7921,9.65,64,12,4.68,ES,1639542796
468,talas,38.6908,35.5538,8.37,57,75,8.23,TR,1639542796
469,port shepstone,-30.7414,30.455,22.24,79,8,7.05,ZA,1639542797
470,dudinka,69.4058,86.1778,-22.99,96,100,9.22,RU,1639542797
471,praia,14.9215,-23.5087,22.3,83,0,5.66,CV,1639542797
472,beisfjord,68.3751,17.5988,3.03,85,96,4.9,NO,1639542797
473,bratsk,56.1325,101.6142,-28.7,92,82,1.56,RU,1639542798
474,luderitz,-26.6481,15.1594,16.13,74,0,6.62,NA,1639542609
475,mahibadhoo,3.7833,72.9667,27.49,74,100,6.88,MV,1639542799
476,lodja,-3.4833,23.4333,20.8,95,100,0.97,CD,1639542800
477,hambantota,6.1241,81.1185,26.19,100,20,1.54,LK,1639542750
478,tromso,69.6496,18.957,3.01,60,75,8.75,NO,1639542800
479,vestmannaeyjar,63.4427,-20.2734,6.18,63,92,9.41,IS,1639542800
480,nilanga,18.1,76.7667,23.8,42,100,4.16,IN,1639542801
481,araceli,10.5529,119.9913,27.57,76,80,8.71,PH,1639542801
482,russell,32.3502,-85.1999,8.78,93,1,0.0,US,1639542801
483,kamakhyanagar,20.9333,85.55,24.03,52,93,0.93,IN,1639542801
484,hirara,24.8,125.2833,24.92,60,40,6.17,JP,1639542799
485,mendi,-6.1761,143.6513,16.03,98,96,0.97,PG,1639542802
486,kongolo,-5.3833,27.0,21.54,96,100,0.17,CD,1639542802
487,safranbolu,41.2508,32.6942,7.09,96,100,0.85,TR,1639542802
488,maracacume,-2.0428,-45.9592,23.51,96,78,1.01,BR,1639542802
489,iranshahr,27.2025,60.6848,11.19,19,0,3.09,IR,1639542803
490,lere,10.387,8.5726,16.36,19,56,2.24,NG,1639542803
491,nizwa,22.9333,57.5333,20.61,33,64,0.26,OM,1639542803
492,saint-philippe,-21.3585,55.7679,27.9,76,35,5.87,RE,1639542803
493,collie,-33.3667,116.15,29.88,22,0,1.35,AU,1639542804
494,fairmont,39.4851,-80.1426,9.65,54,78,1.63,US,1639542804
495,jingdezhen,29.2947,117.2079,20.98,48,0,1.87,CN,1639542804
496,college,64.8569,-147.8028,-33.03,68,75,0.0,US,1639542804
497,tankara,22.6667,70.7333,23.28,22,20,6.53,IN,1639542804
498,tiksi,71.6872,128.8694,-29.95,97,99,1.4,RU,1639542805
499,inhambane,-23.865,35.3833,25.59,84,100,1.93,MZ,1639542805
500,san jose,37.3394,-121.895,7.92,84,40,1.54,US,1639542805
501,wheeling,42.1392,-87.929,10.19,90,90,5.14,US,1639542805
502,bullhead city,35.1478,-114.5683,13.34,55,20,5.14,US,1639542806
503,dole,47.0833,5.5,1.94,100,90,1.54,FR,1639542806
504,ilhabela,-23.7781,-45.3581,24.26,93,99,0.73,BR,1639542806
505,saint-pierre,-21.3393,55.4781,27.94,61,0,7.72,RE,1639542790
506,bonavista,48.6499,-53.1147,-2.71,74,100,13.76,CA,1639542807
507,ostrovskoye,57.8057,42.2433,-7.62,96,100,2.25,RU,1639542702
508,kambove,-10.8764,26.5969,17.66,84,81,0.96,CD,1639542807
509,chambery,45.5667,5.9333,0.92,97,90,2.06,FR,1639542807
510,komsomolskiy,40.4272,71.7189,2.64,87,90,2.06,UZ,1639542808
511,lazurne,46.084,32.5295,5.0,83,100,8.31,UA,1639542808
512,san jeronimo,-11.9472,-75.2829,7.44,90,100,0.43,PE,1639542808
513,ko samui,9.5357,99.9357,30.95,66,20,5.14,TH,1639542719
514,puri,19.8,85.85,22.43,52,91,3.59,IN,1639542809
515,nukus,42.4531,59.6103,-2.01,93,90,5.14,UZ,1639542810
516,channel-port aux basques,47.5702,-59.1367,-2.97,66,96,15.58,CA,1639542810
517,tilichiki,60.4667,166.1,-13.87,92,100,4.97,RU,1639542810
518,necochea,-38.5473,-58.7368,17.24,73,86,3.06,AR,1639542810
519,south river,40.4465,-74.386,9.39,52,33,3.16,US,1639542811
520,sabang,5.8933,95.3214,28.16,75,82,7.77,ID,1639542811
521,yeppoon,-23.1333,150.7333,31.88,58,6,5.41,AU,1639542811
522,bereda,43.2686,-7.5406,4.12,81,0,0.52,ES,1639542811
523,faya,18.3851,42.4509,5.06,29,4,0.91,SA,1639542812
524,paidha,2.4167,30.9855,19.71,71,86,1.11,UG,1639542812
525,los alamos,35.8881,-106.307,6.74,91,90,1.79,US,1639542812
526,pringsewu,-5.3582,104.9744,28.91,75,100,2.39,ID,1639542753
527,atar,20.5169,-13.0499,18.47,22,0,1.68,MR,1639542812
528,atambua,-9.1061,124.8925,30.28,58,6,1.9,ID,1639542813
529,jieshi,22.8134,115.8257,23.86,71,76,6.82,CN,1639542813
530,hailar,49.2,119.7,-15.84,86,45,2.03,CN,1639542813
531,batemans bay,-35.7167,150.1833,34.99,60,53,3.5,AU,1639542813
532,horn lake,34.9554,-90.0348,17.99,78,75,6.17,US,1639542814
533,kulhudhuffushi,6.6221,73.07,27.82,77,100,5.68,MV,1639542814
534,jinxiang,27.4327,120.6062,16.45,83,100,2.9,CN,1639542815
535,sawakin,19.1059,37.3321,26.12,75,68,0.64,SD,1639542815
536,balangir,20.7167,83.4833,23.15,46,99,1.31,IN,1639542815
537,baoro,5.6667,15.9667,20.99,33,100,1.02,CF,1639542815
538,matamoros,25.5333,-103.25,21.06,44,1,0.0,MX,1639542800
539,yumen,40.2833,97.2,-2.51,31,26,9.3,CN,1639542816
540,srednekolymsk,67.45,153.6833,-26.43,91,100,1.94,RU,1639542817
541,krasnyy chikoy,50.3643,108.7512,-15.77,77,100,5.23,RU,1639542817
542,koksovyy,48.1967,40.5989,2.11,93,100,3.48,RU,1639542702
543,la paz,-16.5,-68.15,7.99,87,75,2.57,BO,1639542782
544,caceres,39.522,-6.3748,4.89,67,89,1.95,ES,1639542643
545,borgentreich,51.5692,9.2411,7.73,94,100,2.17,DE,1639542818
546,riyadh,24.6877,46.7219,11.08,29,100,3.65,SA,1639542649
547,omboue,-1.5746,9.2618,24.85,90,100,2.19,GA,1639542818
548,almeirim,-1.5233,-52.5817,24.89,88,94,2.07,BR,1639542818
549,maynooth,53.385,-6.5936,9.64,90,20,8.23,IE,1639542818
550,katherine,-14.4667,132.2667,38.18,32,74,3.09,AU,1639542819
551,malakal,9.5334,31.6605,26.2,25,93,4.41,SS,1639542819
552,moose factory,51.2585,-80.6094,-9.0,86,90,3.6,CA,1639542819
553,aleksandrov gay,50.147,48.5704,-2.63,93,100,4.92,RU,1639542819
554,poum,-20.2333,164.0167,26.15,61,0,8.7,NC,1639542819
